Name,X(mil),Y(mil)
CN12,-300,2850
D4,400,1675
JP5,1375,1675
C21,1550,1500
T1,1775,2425
SB39,1450,825
SB28,1450,1100
SB20,1450,1250
SB40,1450,875
SB44,1450,675
SB24,1450,1150
SB41,1450,775
SB35,1450,1000
SB36,1450,925
SB29,1450,1050
SB42,1450,725
SB25,1450,1200
R10,1775,2575
R11,1725,2575
R12,1825,2575
D2,1600,2650
D3,1725,2250
SB16,1375,2325
SB46,925,575
SB51,925,475
SB52,925,525
SB56,925,425
SB2,1150,1500
SB1,2125,2275
U3,725,1600
C28,1300,600
T2,1975,2275
R32,475,1175
R6,925,2775
C22,705,1226.25
C25,1305,925
C26,1305,825
R15,1300,2575
R17,1425,2575
R18,1475,2575
R16,1375,2575
R19,1875,2575
R20,1925,2575
R21,1975,2575
R24,1300,2350
R27,300,2300
R23,300,2350
R25,1300,2400
R14,300,2450
R22,75,2400
R13,75,2475
R8,75,2550
R5,75,2625
R9,300,2525
R2,675,2775
R1,75,2775
C17,975,1595
C29,625,350
B2,1275,1900
B1,625,1900
X3,775.362,175.197
X2,375,150
X1,575.197,2399.638
U4,1375,1500
U1,1600,2400
U2,950,2450
R35,775,350
R28,1800,2252.5
R33,425,625
R37,825,350
R36,725,350
R29,950,1925
R34,675,350
R30,950,1775
R31,1450,1350
R3,725,2775
R4,975,2775
R7,1025,2775
LD2,1325,1350
LD3,467.5,1299.99
LD1,1950,2800
L1,1300,550
JP6,925,1425
JP1,925,2950
CN3,50,2225
D1,75,2700
CN1,1424.894,2885.827
CN2,450,2800
CN4,-100,2450
C30,960,380
C19,1250,1500
C20,1500,1500
C18,1200,1500
C16,400,1525
C23,625,1175
C24,1276.25,1000
C27,500,625
C14,950,2000
C34,825,50
C33,725,50
C32,525,10
C15,950,1850
C31,525,325
C12,1575,2250
C9,1500,2375
C5,1600,2550
C13,1650,2250
C2,1600,2600
C7,700,2400
C1,850,2775
C4,1225,2575
C11,1050,2200
C6,300,2400
C10,1425,2375
C3,450,2450
C8,450,2350
U5,850,750
CN8,0,250
CN9,1900,350
CN10,2150,900
CN7,-250,900
CN6,0,1050
CN5,1900,1310
SB45,475,525
SB54,475,300
SB55,475,350
SB48,475,425
SB49,475,475
SB53,1300,450
SB58,1300,400
SB59,1300,350
SB32,725,1175
SB33,775,1175
SB30,675,1175
SB31,625,1175
SB38,1275,900
SB18,1300,1300
SB19,1300,1250
SB22,1300,1200
SB23,1300,1150
SB26,1300,1100
SB50,800,525
SB17,325,1750
SB27,1300,1050
SB34,1300,1000
SB61,1300,250
SB62,1300,300
SB63,1300,200
SB13,1075,2275
SB14,1025,2275
SB11,350,2450
SB10,575,2650
SB9,325,2650
SB8,575,2750
SB7,325,2750
SB6,575,2850
SB5,325,2850
SB4,575,2950
SB3,325,2950
SB15,1125,2275
SB12,975,2275
SB43,1300,625
SB47,1300,575
SB21,1450,1300
SB57,925,375
SB60,925,300
SB37,1100,1000
CN11,2200,2850
JP4,-300,2250
R26,-200,2275
SB64,1275,725
SB65,1275,775
