Name,X(mil),Y(mil),Rotation(deg)
CN12,-300,2850,90
D4,400,1675,180
JP5,1375,1675,180
C21,1550,1500,270
T1,1775,2425,270
SB39,1450,825,180
SB28,1450,1100,180
SB20,1450,1250,360
SB40,1450,875,180
SB44,1450,675,360
SB24,1450,1150,360
SB41,1450,775,180
SB35,1450,1000,360
SB36,1450,925,180
SB29,1450,1050,360
SB42,1450,725,180
SB25,1450,1200,180
R10,1775,2575,90
R11,1725,2575,270
R12,1825,2575,270
D2,1600,2650,180
D3,1725,2250,270
SB16,1375,2325,90
SB46,925,575,360
SB51,925,475,180
SB52,925,525,360
SB56,925,425,180
SB2,1150,1500,90
SB1,2125,2275,90
U3,725,1600,180
C28,1300,600,180
T2,1975,2275,180
R32,475,1175,360
R6,925,2775,90
C22,705,1226.25,270
C25,1305,925,180
C26,1305,825,180
R15,1300,2575,90
R17,1425,2575,90
R18,1475,2575,90
R16,1375,2575,90
R19,1875,2575,90
R20,1925,2575,270
R21,1975,2575,270
R24,1300,2350,360
R27,300,2300,180
R23,300,2350,180
R25,1300,2400,180
R14,300,2450,360
R22,75,2400,180
R13,75,2475,180
R8,75,2550,180
R5,75,2625,180
R9,300,2525,180
R2,675,2775,90
R1,75,2775,180
C17,975,1595,90
C29,625,350,90
B2,1275,1900,360
B1,625,1900,180
X3,775.362,175.197,180
X2,375,150,180
X1,575.197,2399.638,90
U4,1375,1500,90
U1,1600,2400,270
U2,950,2450,270
R35,775,350,90
R28,1800,2252.5,270
R33,425,625,90
R37,825,350,90
R36,725,350,270
R29,950,1925,180
R34,675,350,270
R30,950,1775,180
R31,1450,1350,360
R3,725,2775,90
R4,975,2775,270
R7,1025,2775,90
LD2,1325,1350,360
LD3,467.5,1299.99,360
LD1,1950,2800,270
L1,1300,550,180
JP6,925,1425,180
JP1,925,2950,360
CN3,50,2225,90
D1,75,2700,180
CN1,1424.894,2885.827,0
CN2,450,2800,270
CN4,-100,2450,270
C30,960,380,360
C19,1250,1500,270
C20,1500,1500,90
C18,1200,1500,90
C16,400,1525,90
C23,625,1175,90
C24,1276.25,1000,180
C27,500,625,270
C14,950,2000,180
C34,825,50,360
C33,725,50,180
C32,525,10,180
C15,950,1850,360
C31,525,325,180
C12,1575,2250,270
C9,1500,2375,90
C5,1600,2550,180
C13,1650,2250,90
C2,1600,2600,180
C7,700,2400,90
C1,850,2775,90
C4,1225,2575,90
C11,1050,2200,180
C6,300,2400,180
C10,1425,2375,90
C3,450,2450,90
C8,450,2350,270
U5,850,750,0
CN8,0,250,270
CN9,1900,350,90
CN10,2150,900,270
CN7,-250,900,270
CN6,0,1050,270
CN5,1900,1310,90
SB45,475,525,360
SB54,475,300,180
SB55,475,350,180
SB48,475,425,180
SB49,475,475,180
SB53,1300,450,180
SB58,1300,400,180
SB59,1300,350,180
SB32,725,1175,270
SB33,775,1175,270
SB30,675,1175,90
SB31,625,1175,90
SB38,1275,900,180
SB18,1300,1300,180
SB19,1300,1250,180
SB22,1300,1200,180
SB23,1300,1150,180
SB26,1300,1100,180
SB50,800,525,90
SB17,325,1750,180
SB27,1300,1050,180
SB34,1300,1000,180
SB61,1300,250,360
SB62,1300,300,360
SB63,1300,200,360
SB13,1075,2275,270
SB14,1025,2275,270
SB11,350,2450,360
SB10,575,2650,180
SB9,325,2650,180
SB8,575,2750,180
SB7,325,2750,180
SB6,575,2850,180
SB5,325,2850,180
SB4,575,2950,180
SB3,325,2950,180
SB15,1125,2275,90
SB12,975,2275,90
SB43,1300,625,360
SB47,1300,575,360
SB21,1450,1300,180
SB57,925,375,360
SB60,925,300,180
SB37,1100,1000,270
CN11,2200,2850,90
JP4,-300,2250,90
R26,-200,2275,270
SB64,1275,725,180
SB65,1275,775,180
